root_cause_id,domain,risk_level,expected_condition,root_cause_name
SEC-SQL-ENC-002-RC07,SEC,medium,NETWORK_SERVICE_BANNER NOT LIKE '%SSL%' AND NETWORK_SERVICE_BANNER NOT LIKE '%TLS%',Load Balancer and Infrastructure TLS Settings
SEC-SQL-ENC-002-RC08,SEC,medium,ssl_sessions = 0,Lack of TLS 1.2 Configuration Knowledge
SEC-SQL-ENC-002-RC10,SEC,medium,SSL_VERSION includes multiple versions,Intentional Compatibility Decisions
SEC-SQL-ENC-002-RC12,SEC,medium,VERSION < '12.1',Database Version Limitations
SEC-SQL-ENC-003-RC03,SEC,medium,CURRENTLY_USED = 'FALSE' OR row_count = 0,Missing License Entitlements
SEC-SQL-ENC-003-RC04,SEC,medium,STATUS != 'OPEN' OR row_count = 0,Key Management System Not Available
SEC-SQL-ENC-003-RC12,SEC,medium,any(status = 'NOT_AVAILABLE' OR status = 'CLOSED'),Cloud Database Settings
SEC-SQL-ENC-003-RC13,SEC,medium,"any(status IN ('NOT_AVAILABLE', 'CLOSED', 'UNDEFINED'))",Development/Test Database Assumption
SEC-SQL-ENC-003-RC15,SEC,medium,any(encrypted = 'YES') AND any(encrypted = 'NO'),Previous Failed Implementation Attempt
SEC-SQL-ENC-004-RC01,SEC,medium,any(encrypted = 'NO'),Feature Not Enabled at Backup Time
SEC-SQL-ENC-004-RC03,SEC,medium,any(backed_up = 'NO'),Key Management for Backups Not Established
SEC-SQL-ENC-004-RC05,SEC,medium,any(encrypted = 'YES' AND avg_minutes > 120),Performance Impact on Backup Windows
SEC-SQL-ENC-004-RC07,SEC,medium,backup_enc = 'BACKUP_NOT_ENCRYPTED',Regulatory Requirement Not Mapped to Backups
SEC-SQL-ENC-004-RC10,SEC,medium,any(key_age_days > 365),Certificate and Key Expiration on Backups
SEC-SQL-ENC-004-RC11,SEC,medium,"any(status IN ('NOT_CONFIGURED', 'ABSENT'))",Database Encryption Complexity Misunderstood
SEC-SQL-ENC-004-RC16,SEC,medium,unencrypted > 0,Backup Scripts Written Before Encryption Features Existed
SEC-SQL-ENC-005-RC08,SEC,medium,any value IS NULL OR any value = 'ACCEPTED',No Cipher Suite Hardening Standard
SEC-SQL-ENC-005-RC09,SEC,medium,value IS NULL OR value LIKE '%RSA%',RSA Key Exchange Still Enabled
SEC-SQL-ENC-005-RC11,SEC,medium,value NOT LIKE '%1.2%' OR value LIKE '%1.0%' OR value LIKE '%1.1%',TLS 1.2 Allows Weak Ciphers
SEC-SQL-ENC-005-RC12,SEC,medium,key_age_days > 365,Key Rotation Policy Not Implemented
SEC-SQL-ENC-005-RC15,SEC,medium,unencrypted_ts > 0,Compliance Requirements Misunderstood
SEC-SQL-ENC-005-RC16,SEC,medium,encryption banner shows weak algorithms or no encryption,Vendor Default Cipher Suites Used Without Review
SEC-SQL-INJ-001-RC03,SEC,medium,concatenation_usage > bind_variable_usage for any owner,Lack of awareness and training
SEC-SQL-INJ-001-RC06,SEC,medium,row_count > 0 with high unsafe_objects count,Insufficient security code reviews
SEC-SQL-INJ-001-RC08,SEC,medium,row_count > 0 with high dynamic_sql_lines,Complex business requirements
SEC-SQL-INJ-001-RC10,SEC,medium,hard parse ratio (hard/total) > 0.3,ORM framework misuse
SEC-SQL-INJ-001-RC11,SEC,medium,unsafe_objects > 10,Absence of security testing tools
SEC-SQL-INJ-001-RC12,SEC,medium,row_count > 0 with wrapped third-party packages,Third-party library dependencies
SEC-SQL-INJ-002-RC02,SEC,medium,row_count > 0 with very old Java objects,Backward compatibility requirements
SEC-SQL-INJ-002-RC05,SEC,medium,row_count > 0 with high dependent_objects count,High barrier to refactoring
SEC-SQL-INJ-002-RC08,SEC,medium,non_bind_sql_count > 5,Missing monitoring and enforcement
SEC-SQL-INJ-002-RC09,SEC,medium,sql_firewall = 'FALSE' AND db_vault = 'FALSE' AND audit_trail = 'NONE',Assumption of network isolation
SEC-SQL-INJ-002-RC10,SEC,medium,FAIL_count > 0,Security compliance misalignment
SEC-SQL-INJ-002-RC13,SEC,medium,SUM(count) > 1,Knowledge loss and staff turnover
SEC-SQL-INJ-002-RC16,SEC,medium,SUM(present) >= 3,Insufficient removal validation
SEC-SQL-NET-001-RC07,SEC,medium,unique_hosts > 20,Missing Virtual Private Network (VPN) Requirements
SEC-SQL-NET-001-RC08,SEC,medium,NO_count > 1,Cloud Provider Shared Responsibility Model Misunderstanding
SEC-SQL-NET-001-RC10,SEC,medium,row_count = 0 OR host = '*',No Network Access Control List (NACL) Restrictions
SEC-SQL-NET-001-RC11,SEC,medium,SUM(present) >= 3,Shadow IT / Unauthorized Deployments
SEC-SQL-NET-001-RC12,SEC,medium,last_login IS NULL OR last_login < SYSDATE - 90,Temporary Access Left Permanently
SEC-SQL-NET-001-RC14,SEC,medium,NOT_CONFIGURED_count >= 2,No Default-Deny Network Policy
SEC-SQL-NET-002-RC06,SEC,medium,distinct_programs > 5,Application Connection String Hardcoding
SEC-SQL-NET-002-RC14,SEC,medium,uptime_days > 365,Lack of Port Rotation Practices
SEC-SQL-NET-003-RC01,SEC,medium,distinct_hosts > 20,Default Allow Firewall Posture
SEC-SQL-NET-003-RC05,SEC,medium,host = '*' OR broad access patterns,External Data Source Integration
SEC-SQL-NET-003-RC16,SEC,medium,host = '*' OR lower_port IS NULL,No Default-Deny Egress Policy
SEC-SQL-PAT-001-RC01,SEC,medium,last patch older than 6 months,Lack of proactive EOL tracking and monitoring
SEC-SQL-PAT-001-RC02,SEC,medium,created date suggests database has been running for years without major upgrade,Deferred major version upgrades due to technical complexity
SEC-SQL-PAT-001-RC04,SEC,medium,version is significantly behind current LTS,Extended downtime requirements for migration
SEC-SQL-PAT-001-RC06,SEC,medium,invalid_components > 0 OR custom_schemas > 20,Unfamiliar upgrade procedures and architectural changes
SEC-SQL-PAT-001-RC07,SEC,medium,patch history available,Inadequate testing environments that mimic production
SEC-SQL-PAT-001-RC08,SEC,medium,last patch is older than 120,Resource constraints and competing priorities
SEC-SQL-PAT-001-RC10,SEC,medium,"complex configuration detected (RAC, CDB, etc.)",Loss of institutional knowledge
SEC-SQL-PAT-001-RC12,SEC,medium,days_since_patch > 180,Incremental neglect over multiple release cycles
SEC-SQL-PAT-001-RC14,SEC,medium,edition information returned,Vendor licensing and support service uncertainty
SEC-SQL-PAT-002-RC01,SEC,medium,database properties returned,Incomplete asset discovery and inventory
SEC-SQL-PAT-002-RC02,SEC,medium,days_since_last_cpu > 120,Extended CVE disclosure-to-patch timelines
SEC-SQL-PAT-002-RC03,SEC,medium,configuration parameters identified,Inadequate testing environments and procedures
SEC-SQL-PAT-002-RC04,SEC,medium,optimizer_features_enable or _fix_control is set,Fear of patch-induced breaking changes
SEC-SQL-PAT-002-RC05,SEC,medium,irregular patch intervals,Long approval workflows and change control processes
SEC-SQL-PAT-002-RC06,SEC,medium,configuration returned,Resource constraints and manual patching processes
SEC-SQL-PAT-002-RC08,SEC,medium,platform information returned,Vendor patch delays for specific platforms or configurations
SEC-SQL-PAT-002-RC09,SEC,medium,patch inventory available,Incompatible dependency chains
SEC-SQL-PAT-002-RC10,SEC,medium,activity in all hours,Active database usage preventing maintenance windows
SEC-SQL-PAT-002-RC11,SEC,medium,flashback_on = 'YES' AND log_mode = 'ARCHIVELOG',Lack of patch rollback and recovery procedures
SEC-SQL-PAT-002-RC12,SEC,medium,patch history available for gap analysis,Critical patches for rarely-exploited vulnerabilities
SEC-SQL-PAT-002-RC13,SEC,medium,any status != 'SUCCESS',Incomplete patches that bypass exploits
SEC-SQL-PAT-002-RC14,SEC,medium,days_since_patch > 120,Delayed CVE scoring and analysis
SEC-SQL-PRI-001-RC09,SEC,medium,status != 'OPEN' OR wallet_type = 'UNKNOWN',Key Management Complexity
SEC-SQL-PRI-001-RC10,SEC,medium,version starts with 11 or earlier,Lack of Native Masking Features (Old Versions)
SEC-SQL-PRI-001-RC11,SEC,medium,row_count = 0 OR value = 'OFF',Unsecured Backups/Snapshots
SEC-SQL-PRI-002-RC03,SEC,medium,_trace_files_public = 'TRUE' OR sec_return_server_release_banner = 'TRUE',Verbose Error Logging
SEC-SQL-PRI-002-RC04,SEC,medium,audit_record_count > 10000000,Audit Trail Over-Configuration
SEC-SQL-PRI-002-RC06,SEC,medium,max_dump_file_size = 'UNLIMITED' OR _trace_files_public = 'TRUE',Crash Dumps and Core Files
SEC-SQL-VS-001-RC14,SEC,medium,pdb_count > 3,Complexity in multi-cluster environments
SEC-SQL-VS-002-RC02,SEC,medium,days_since_patch > 90,Outdated extensions with known vulnerabilities
SEC-SQL-VS-003-RC06,SEC,medium,LIMIT = 'NULL' OR LIMIT IS NULL,Inadequate password verification functions
SEC-SQL-VS-003-RC12,SEC,medium,any(authentication_type = 'PASSWORD' AND user_count > 10),Lack of integration with enterprise password management
